Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
12.55,-11.43,2.97,-24.12,-59.81,119.31
13.39,-10.23,3.26,-23.69,-116.19,96.94
10.8,-8.88,2.65,-6.81,-168.5,67.12
3.3,-6.98,-1.33,9.63,-196.5,33.19
4.06,-5.98,-3.28,14.75,-192.0,5.5
5.58,-4.18,-3.4,6.12,-157.56,-33.69
3.99,-0.29,-1.16,-1.12,-112.25,-78.0
1.27,1.16,-0.29,-4.62,-78.75,-104.62
-2.38,1.89,0.16,-10.56,-59.38,-110.19
-5.87,2.0,-0.19,-14.13,-50.38,-93.25
-7.98,4.48,0.31,-11.88,-33.88,-60.56
-8.77,7.07,0.94,-7.69,-2.87,-28.5
-8.79,9.38,0.57,-6.12,38.63,0.5
-7.11,10.04,-0.33,-12.63,76.87,30.81
-2.89,5.9,-2.05,-22.19,99.81,59.44
-1.49,3.73,-2.83,-24.37,101.94,87.44
-1.3,2.5,-3.06,-21.06,103.37,109.62
2.44,1.35,-1.76,-21.69,112.56,133.19
4.13,0.41,-0.92,-21.62,125.06,147.56
4.37,-0.97,-0.13,-17.31,140.5,145.37
5.85,-2.26,0.22,-13.38,142.56,133.31
10.37,-4.94,1.37,-8.56,133.25,113.06
12.04,-5.66,2.62,-3.75,125.62,79.62
14.79,-5.7,4.13,1.12,111.44,36.94
17.27,-4.59,4.59,4.5,83.44,-11.44
15.05,-1.8,2.72,8.25,50.63,-67.69
12.4,-0.97,1.75,14.25,21.19,-118.0
9.86,-0.12,0.97,18.06,1.37,-151.69
7.86,0.46,0.39,24.12,-0.75,-170.62
4.77,0.67,-0.67,30.31,15.19,-182.06
2.87,0.31,-1.31,34.06,37.81,-191.25
-0.34,-0.19,-1.92,32.31,58.38,-199.0
-4.54,-0.86,-1.59,28.06,64.37,-196.37
-6.18,-0.72,-1.71,23.0,54.25,-184.5
-9.34,-0.15,-1.86,17.81,36.38,-174.25
-12.0,0.72,-1.21,10.19,9.31,-160.0
-14.88,2.32,-0.18,3.25,-18.75,-142.25
-15.85,0.97,-0.44,-2.62,-35.88,-124.94
-15.77,-0.31,-0.69,-7.37,-37.5,-85.81
-14.22,-2.03,-0.69,-12.31,-26.62,-42.88
-11.15,-3.19,-1.53,-15.44,-10.69,-3.5
-10.91,-3.33,-1.71,-20.5,-5.87,28.75
-10.96,-2.9,-1.67,-29.31,-24.69,64.06
-12.59,-0.92,-1.52,-31.87,-61.69,101.81
-12.02,-0.69,-1.04,-26.94,-100.19,135.31
-9.77,-0.95,-0.35,-16.06,-123.87,169.0
-6.77,-1.61,-0.39,-4.31,-126.06,195.19
-0.53,-3.43,-0.85,0.5,-113.37,211.0
2.02,-4.09,-0.74,0.31,-97.94,216.5
3.8,-3.6,-1.0,2.75,-88.5,210.81
4.68,-3.87,-1.12,10.19,-89.44,205.81
6.25,-3.89,-1.81,19.5,-90.37,193.44
7.68,-2.99,-1.82,17.94,-79.81,172.87
9.72,-3.02,-1.4,13.63,-54.13,157.12
15.19,-1.93,-1.52,12.38,-20.87,132.44
18.56,-0.99,-0.87,-5.06,4.81,98.06
18.31,-0.99,-1.59,-20.19,1.62,68.19
16.04,-1.16,-2.07,-21.62,-26.25,25.87
15.94,-0.93,-2.32,-15.31,-41.75,-32.94
15.42,-0.77,-2.5,-14.44,-19.37,-82.94
15.17,-0.77,-2.07,-11.69,23.0,-125.25
14.88,-0.89,-1.09,-11.38,63.06,-163.62
13.81,-1.82,0.42,-8.94,82.94,-198.12
12.14,-2.59,0.68,-4.94,83.12,-225.5
10.28,-3.32,0.96,1.31,71.87,-253.06
8.58,-3.78,1.31,4.62,58.19,-276.37
0.81,-4.49,2.29,8.0,40.5,-296.19
-3.38,-4.62,1.8,9.5,9.94,-308.37
-8.0,-2.88,1.19,4.12,-28.19,-296.87
-17.05,1.66,1.41,2.25,-58.0,-268.44
-20.03,4.07,0.26,-1.81,-89.31,-222.81
-21.49,4.87,-0.21,-5.25,-95.0,-193.37
-19.21,4.13,0.62,-9.63,-60.56,-181.06
-15.29,0.06,-1.06,-7.62,-1.69,-157.81
-10.65,-1.81,-1.68,-34.56,40.38,-112.31
-13.17,-1.25,-1.47,-54.81,11.44,-41.13
-17.16,1.27,-2.64,-55.56,-57.0,37.75
-17.93,0.0,-2.26,-41.25,-93.69,137.31
-12.97,-2.5,-2.11,-6.19,-43.13,179.62
-7.41,-4.81,-0.21,5.31,43.81,190.56
1.84,-3.29,2.81,-9.0,120.06,181.37
5.5,-4.88,3.57,-23.12,157.19,160.81
6.67,-6.21,3.35,-25.19,168.19,169.5
5.28,-7.31,2.53,-25.44,155.75,154.56
4.12,-7.68,0.96,-17.94,112.0,138.31
5.53,-6.49,1.43,0.37,71.06,109.25
7.16,-5.74,3.58,7.5,69.56,71.44
9.43,-4.68,5.28,11.5,76.75,41.0
12.14,-2.07,4.46,16.62,58.5,0.0
11.15,-1.26,3.81,22.25,30.75,-42.25
9.8,-0.25,3.29,26.62,9.56,-73.0
8.78,-0.23,2.75,43.13,15.88,-113.62
8.42,1.1,1.65,43.13,15.88,-113.62
7.49,0.24,1.0,46.56,37.31,-124.94
6.48,1.2,0.85,54.31,59.31,-127.87
4.21,-0.4,0.49,60.56,73.5,-147.0
2.73,-0.57,0.04,73.31,81.31,-167.81
1.64,-0.78,-0.24,73.31,81.31,-167.81
0.59,-0.56,-0.62,74.0,66.44,-168.81
-3.68,0.18,-2.1,72.75,40.75,-166.44
-5.78,2.01,-2.86,66.25,2.06,-152.12
