Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-5.1,0.19,3.12,-45.0,-59.06,-172.94
-11.63,0.93,5.85,-39.88,-78.06,-164.37
-13.58,0.03,6.09,-22.44,-106.06,-137.31
-14.71,-0.71,5.06,4.56,-124.12,-78.44
-16.22,-1.03,4.4,25.25,-123.56,-46.13
-16.22,-1.03,4.4,38.25,-104.06,-3.56
-15.12,-2.97,1.68,56.81,-54.0,71.31
-11.46,-3.47,1.32,66.25,24.0,124.44
-7.52,-3.7,1.33,66.75,89.94,143.81
0.64,-4.15,-0.79,57.75,123.81,164.37
0.64,-4.15,-0.79,41.5,138.75,182.31
4.7,-3.71,-1.87,24.19,145.94,173.0
8.75,-2.55,-2.79,6.81,137.75,146.06
14.86,0.31,-2.8,-6.25,112.31,114.0
16.52,1.52,-2.98,-12.81,77.06,68.0
16.72,2.28,-2.64,-14.75,44.38,9.88
16.05,3.08,-2.14,4.31,17.12,-49.88
13.7,-0.14,-0.96,-10.06,-2.12,-124.12
9.93,0.55,-0.83,-33.25,-13.19,-166.87
6.82,-0.06,0.03,-24.12,-27.69,-166.31
3.47,-0.19,0.73,-24.12,-27.69,-166.31
-2.64,0.71,2.84,-21.5,-70.62,-175.06
-5.69,0.12,3.9,-8.94,-108.56,-156.37
-9.13,-0.55,4.94,-1.06,-147.06,-121.37
-12.28,-1.17,4.93,9.13,-166.19,-72.87
-17.1,-1.37,3.22,24.62,-149.0,-28.06
-18.48,-1.25,2.76,45.56,-91.44,25.19
-17.93,-1.84,2.14,58.69,-9.38,79.31
-10.95,-3.71,0.93,60.19,64.25,117.25
-6.95,-4.12,0.61,53.19,103.19,144.81
-3.36,-4.15,0.04,53.19,103.19,144.81
0.02,-3.85,-0.93,18.94,119.87,162.25
6.81,-1.92,-2.67,4.75,124.37,142.62
10.63,-0.85,-2.98,-1.62,123.25,105.62
13.62,0.37,-2.05,-16.94,105.81,51.5
15.24,1.67,-1.67,-16.94,105.81,51.5
16.05,1.84,-1.39,-21.94,40.88,-20.12
15.02,2.11,-1.02,-22.37,14.5,-78.37
13.26,1.89,-0.6,-19.62,-8.63,-121.0
10.92,1.12,0.2,-19.19,-30.31,-153.19
3.98,0.8,1.27,-19.19,-30.31,-153.19
0.62,0.11,1.85,-15.75,-55.56,-167.94
-2.91,-0.4,2.99,-11.38,-106.69,-155.5
-9.78,-0.79,4.4,-6.75,-132.12,-131.06
-13.11,-0.91,4.35,3.19,-147.81,-86.44
-15.51,-1.6,3.32,3.19,-147.81,-86.44
-17.63,-1.76,2.83,14.38,-137.75,-42.81
-18.1,-2.31,1.86,47.81,-36.75,61.19
-15.63,-3.26,1.16,60.69,30.44,111.62
-12.49,-4.15,1.14,55.88,80.19,145.5
-9.11,-4.57,1.15,55.88,80.19,145.5
-2.17,-4.88,-0.61,44.56,104.31,171.19
1.2,-4.25,-1.66,12.94,130.44,174.69
4.56,-3.12,-2.36,-2.19,143.31,155.12
11.92,-1.02,-1.94,-15.38,149.81,120.62
15.34,0.46,-1.57,-15.38,149.81,120.62
17.91,1.97,-1.12,-30.31,140.12,78.12
18.86,2.71,-0.75,-27.81,58.69,-15.75
17.3,2.71,-0.59,-27.37,16.25,-67.19
15.51,2.32,-0.18,-22.94,-16.75,-117.94
13.12,1.83,0.25,-22.94,-16.75,-117.94
10.32,1.07,0.78,-19.87,-41.63,-156.81
3.37,0.34,2.07,-14.81,-90.06,-199.87
-0.1,-0.46,2.77,-14.81,-90.06,-199.87
-3.96,-0.79,3.81,-13.13,-114.94,-197.12
-7.93,-0.73,4.7,-10.19,-138.0,-179.37
-13.6,-2.08,4.02,2.25,-153.56,-139.06
-16.38,-1.52,4.33,6.25,-154.81,-114.25
-18.41,-1.48,4.19,18.19,-139.31,-81.19
-18.03,-2.99,2.95,45.0,-94.94,-14.44
-15.48,-3.55,2.49,57.19,-30.5,48.25
-12.09,-4.14,1.61,62.69,34.56,92.31
-8.53,-4.63,0.71,66.37,79.06,131.31
-1.79,-4.57,-0.95,56.5,98.44,160.5
1.29,-3.95,-2.34,41.0,104.44,174.5
4.4,-3.0,-3.4,25.56,108.81,174.44
7.45,-1.8,-3.99,7.56,114.31,160.56
12.9,0.44,-3.18,-8.94,120.5,137.69
15.02,1.32,-2.62,-19.5,116.87,105.0
16.86,1.87,-2.63,-25.19,98.75,62.06
15.75,3.93,-1.1,-27.81,67.87,5.56
14.13,0.79,-0.56,-14.56,25.5,-55.63
10.66,0.46,-0.75,-42.44,-10.31,-133.06
7.68,-0.35,-0.24,-40.81,-33.69,-146.81
1.68,0.63,1.79,-37.75,-45.0,-156.62
-1.09,0.29,3.0,-42.38,-53.81,-180.62
-4.66,-0.23,4.49,-39.06,-73.12,-180.25
-7.72,-0.8,5.4,-38.06,-98.25,-154.19
-13.69,0.33,5.58,-36.44,-127.81,-120.06
-15.26,0.33,4.66,-17.81,-141.19,-66.37
-16.87,0.32,4.32,13.63,-123.94,-21.62
-16.74,-0.66,3.68,45.75,-78.44,26.62
-12.28,-3.09,2.14,72.75,-15.5,79.81
-8.66,-3.93,1.22,92.44,48.38,121.0
-5.18,-4.46,0.6,97.37,92.37,142.87
2.06,-4.67,-1.37,75.94,109.0,156.81
5.27,-3.84,-2.42,49.25,112.25,170.06
8.15,-2.35,-3.05,28.37,108.56,168.06
10.61,-0.79,-3.42,9.94,100.62,145.62
14.15,1.14,-3.53,-2.5,85.69,113.69
