Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.11,0.02,0.1,-0.69,-0.88,-0.13
0.15,0.03,0.11,-0.94,-0.56,0.0
0.2,0.02,0.15,-1.19,-0.13,0.13
0.2,-0.01,0.18,-1.37,-0.13,0.06
0.25,0.01,0.14,-1.62,-0.37,0.13
0.25,0.01,0.2,-1.81,-0.75,0.19
0.3,-0.03,0.25,-1.56,-1.19,0.0
0.32,-0.03,0.2,-0.81,-1.5,-0.37
0.3,-0.03,0.16,-0.06,-1.87,-0.56
0.29,-0.09,0.15,0.56,-2.5,-1.0
0.29,-0.02,0.11,1.19,-2.75,-1.5
0.24,0.0,0.12,1.75,-3.06,-1.87
0.19,0.0,0.15,1.62,-3.37,-2.06
0.15,0.0,0.17,1.62,-3.25,-2.19
0.15,0.01,0.2,1.37,-2.5,-2.44
0.23,0.07,0.13,1.5,-1.94,-2.31
0.26,0.09,0.07,1.81,-1.44,-2.06
0.32,0.04,0.13,1.75,-1.44,-2.19
0.33,0.01,0.11,1.75,-1.94,-2.75
0.32,0.0,0.11,2.12,-3.19,-2.87
0.28,-0.01,0.21,1.94,-4.06,-3.12
0.34,0.05,0.19,1.94,-4.25,-3.44
0.34,0.03,0.22,2.62,-4.19,-3.75
0.36,-0.02,0.28,3.12,-4.19,-4.25
0.35,-0.13,0.26,4.06,-4.44,-5.19
0.32,-0.4,0.63,5.19,-4.5,-6.62
0.28,-0.45,0.87,6.0,-5.0,-9.06
0.15,-0.61,1.08,8.0,-7.44,-12.44
-1.9,-1.84,0.91,12.19,-13.88,-18.31
-4.29,-3.22,0.77,20.5,-27.44,-27.25
-7.08,-4.71,0.96,31.75,-52.31,-37.13
-10.0,-5.4,1.79,44.19,-87.81,-47.56
-16.44,-5.03,3.71,66.5,-132.69,-54.69
-18.76,-6.02,1.31,97.81,-184.25,-41.56
-19.13,-7.13,-0.71,93.69,-200.06,-12.94
-16.53,-5.71,0.33,27.87,-133.12,28.81
-8.77,-0.73,-2.77,-40.5,23.81,94.94
-3.92,1.82,-3.22,-59.06,156.19,163.31
-0.23,3.05,-4.48,-30.62,198.69,200.0
6.92,4.13,-4.51,-35.13,184.62,226.37
11.24,2.59,-2.81,-49.19,174.75,262.0
16.05,1.53,-1.22,-53.63,194.44,255.69
22.14,0.49,1.12,-67.94,213.56,206.31
29.84,-1.16,13.49,-71.06,196.44,143.44
29.83,0.51,12.37,-62.38,132.12,57.88
29.64,1.31,9.75,-27.44,31.37,-22.87
23.28,1.8,7.14,-3.44,-54.44,-109.5
11.03,-0.35,3.39,28.69,-59.69,-179.31
6.79,-2.77,3.78,70.5,-18.75,-216.12
2.04,-4.64,4.52,94.94,6.37,-241.06
-3.11,-6.03,4.77,112.44,-16.44,-247.81
-11.69,-7.63,2.08,122.31,-78.31,-231.44
-16.09,-7.62,1.82,112.37,-144.25,-213.94
-21.68,-7.07,1.25,83.31,-198.37,-204.62
-29.25,-3.79,-2.82,53.38,-224.37,-177.87
-30.41,-2.61,-5.03,52.0,-197.06,-114.37
-28.22,-1.99,-6.53,56.75,-110.94,-28.06
-22.94,-1.59,-6.81,22.25,7.62,71.25
-10.46,-0.38,-4.13,-6.5,104.62,135.5
-5.72,-0.77,-2.72,-4.25,141.62,164.56
-2.07,-1.24,-2.15,-7.31,144.19,193.44
0.98,-1.0,-1.7,-34.13,143.44,213.56
7.77,0.07,-0.36,-56.81,152.62,218.37
11.94,0.36,1.5,-73.87,177.44,206.94
16.91,0.35,4.04,-88.31,207.31,179.75
22.09,1.14,7.36,-92.62,220.31,133.44
30.03,0.93,11.73,-77.62,185.25,84.31
28.12,3.02,10.28,-45.19,99.12,19.87
22.46,2.2,8.86,8.44,-3.31,-66.81
13.96,-0.65,5.49,42.06,-67.31,-121.62
10.94,-2.16,4.31,72.5,-77.0,-159.62
7.62,-3.82,4.04,96.87,-74.75,-193.06
3.67,-5.36,3.89,110.94,-85.06,-214.12
-5.97,-7.63,1.31,122.25,-105.5,-214.94
-10.29,-8.42,-0.03,127.0,-141.56,-205.25
-14.62,-8.86,-1.01,119.5,-188.75,-199.31
-19.19,-8.52,-1.89,89.0,-217.94,-192.31
-25.8,-4.28,-4.14,41.19,-215.06,-170.5
-27.49,-2.48,-6.29,21.94,-177.62,-124.69
-27.03,-1.77,-7.08,18.31,-113.69,-47.06
-20.33,-1.74,-6.06,-10.56,-24.44,40.13
-15.84,-1.51,-4.74,-39.38,55.75,105.44
-11.57,-1.24,-3.69,-46.88,100.81,143.5
-8.0,-1.21,-2.75,-48.5,121.06,176.5
-1.32,-1.73,-0.89,-61.31,140.5,205.06
2.2,-1.95,0.79,-80.94,165.69,222.69
6.16,-2.24,2.53,-100.44,195.25,223.19
10.58,-2.61,4.52,-112.37,218.75,207.25
21.21,-2.25,9.6,-114.25,222.19,181.19
24.7,-1.29,11.51,-100.94,192.69,140.37
27.56,-0.18,11.39,-75.94,121.5,90.44
24.14,2.46,10.0,-43.5,31.31,18.25
14.87,2.77,7.2,-5.75,-42.38,-59.44
12.38,1.94,5.87,31.06,-58.13,-106.62
11.0,1.02,5.21,59.88,-39.63,-133.87
6.37,-0.09,3.87,74.12,-24.19,-154.94
3.13,-1.26,2.7,83.19,-32.44,-167.44
-0.28,-2.5,1.17,94.19,-62.81,-171.44
-3.65,-3.13,-0.02,99.19,-105.69,-174.0
-10.23,-2.94,-1.68,99.75,-155.44,-178.0
