Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.09,0.09,-0.18,0.0,25.69,4.69
-0.12,0.06,-0.22,0.31,30.5,5.87
-0.1,0.0,-0.25,0.56,34.75,7.0
-0.08,0.04,-0.19,0.56,34.75,7.0
-0.11,0.09,-0.23,0.69,38.38,7.56
-0.07,0.0,-0.27,1.5,45.44,8.94
-0.02,0.0,-0.25,1.56,48.19,9.56
-0.05,0.08,-0.24,1.56,51.31,9.63
-0.06,0.05,-0.24,1.56,51.31,9.63
-0.07,0.05,-0.22,2.19,53.94,10.31
-0.07,0.01,-0.21,2.44,59.44,11.25
-0.02,0.06,-0.2,2.5,61.38,11.56
0.03,0.01,-0.16,2.69,63.0,12.13
0.1,0.0,-0.17,2.69,63.0,12.13
0.22,-0.03,-0.13,2.44,63.0,12.81
0.37,0.04,-0.08,1.75,61.19,12.88
0.27,0.05,-0.02,2.06,57.69,12.31
0.23,0.01,-0.07,2.06,54.38,11.38
0.23,0.0,-0.08,2.44,50.69,10.81
0.2,0.04,-0.09,2.44,47.56,9.75
0.2,0.03,-0.08,2.5,45.0,8.63
0.24,0.01,-0.15,2.62,42.94,8.31
0.26,0.02,-0.11,2.56,41.13,8.38
0.24,0.04,-0.13,2.44,39.81,8.06
0.21,0.03,-0.17,2.69,38.75,8.0
0.15,0.04,-0.13,3.19,38.25,7.69
0.14,0.03,-0.19,3.31,38.56,7.75
0.13,0.02,-0.14,3.44,39.19,7.75
0.16,0.01,-0.13,3.75,40.5,8.06
0.21,0.03,-0.08,3.75,41.19,8.31
0.17,0.08,-0.03,3.75,41.38,8.19
0.17,0.06,-0.08,4.0,41.31,8.19
0.17,0.0,-0.05,4.56,41.19,8.31
0.06,0.04,-0.05,4.94,41.0,8.19
0.06,0.05,-0.05,5.37,41.38,7.75
0.03,0.01,-0.05,5.87,42.88,7.62
0.03,-0.01,-0.07,6.37,44.56,8.13
0.15,0.0,-0.02,6.31,45.5,8.13
0.2,0.02,0.0,6.19,45.44,8.0
0.23,0.0,0.03,5.81,44.31,7.75
0.19,0.01,0.01,5.94,41.44,7.31
-0.03,0.08,-0.2,6.5,38.5,7.0
-0.1,0.07,-0.25,7.87,38.06,6.56
-0.11,0.03,-0.25,8.31,40.56,7.12
-0.12,-0.01,-0.26,8.81,45.13,8.06
0.02,0.01,-0.25,8.38,50.25,9.0
0.13,-0.01,-0.23,7.87,54.13,9.69
0.19,-0.02,-0.18,7.5,55.81,10.38
0.3,0.02,-0.16,7.37,55.19,10.56
0.29,0.0,-0.18,7.44,52.56,10.56
0.28,-0.01,-0.19,7.75,49.44,9.81
0.22,-0.01,-0.2,7.94,46.13,9.44
0.22,0.01,-0.28,8.19,43.31,9.19
0.23,0.0,-0.27,8.06,41.31,8.75
0.24,-0.02,-0.27,7.94,39.69,8.0
0.24,-0.02,-0.28,7.81,37.88,7.81
0.13,0.01,-0.36,7.94,35.31,7.56
0.08,0.01,-0.37,8.0,33.81,7.44
0.03,-0.01,-0.37,8.13,33.75,7.56
0.05,-0.02,-0.36,8.19,34.63,8.13
0.04,-0.01,-0.37,8.0,36.19,8.63
0.09,-0.01,-0.35,7.37,37.69,9.06
0.1,-0.03,-0.31,7.12,39.0,9.25
0.11,0.01,-0.36,7.06,39.75,9.31
0.08,0.02,-0.31,7.37,40.63,9.44
0.04,0.02,-0.3,7.75,42.44,9.69
0.0,-0.02,-0.33,8.06,45.06,10.56
0.05,0.0,-0.3,7.87,47.56,11.44
0.04,0.01,-0.29,7.5,50.06,11.5
0.06,0.0,-0.33,7.44,52.19,11.56
0.17,-0.07,-0.39,7.25,54.06,11.88
0.27,-0.01,-0.36,6.44,54.88,12.31
0.23,0.0,-0.28,6.37,54.88,12.13
0.26,-0.03,-0.33,6.25,53.31,12.31
0.26,-0.02,-0.31,6.19,48.5,11.5
0.31,-0.02,-0.38,6.19,48.5,11.5
0.3,-0.01,-0.37,6.12,47.19,11.06
0.26,-0.01,-0.37,5.94,46.5,10.88
0.11,0.03,-0.41,6.12,46.56,10.94
0.0,0.06,-0.5,7.37,52.63,11.75
-0.09,0.02,-0.49,7.37,52.63,11.75
-0.04,-0.04,-0.53,7.37,59.94,12.75
0.17,-0.08,-0.39,6.62,66.94,14.13
0.26,-0.02,-0.33,4.87,72.0,15.0
0.31,-0.05,-0.29,4.62,69.75,15.13
0.53,-0.08,-0.28,4.62,69.75,15.13
0.56,-0.05,-0.25,4.56,65.25,14.88
0.58,-0.06,-0.18,4.0,53.5,13.38
0.52,-0.03,-0.15,4.44,48.13,12.69
0.36,-0.01,-0.3,4.5,44.75,11.75
0.33,0.0,-0.34,4.31,43.5,10.75
0.31,-0.03,-0.37,4.06,43.5,10.44
0.3,-0.07,-0.35,3.81,44.06,10.19
0.31,-0.02,-0.37,3.31,43.44,10.06
0.32,-0.01,-0.35,3.31,42.63,9.69
0.34,-0.04,-0.36,2.87,41.5,9.5
0.36,-0.07,-0.36,2.62,39.56,9.06
0.35,0.0,-0.35,2.62,37.44,8.81
0.3,0.01,-0.38,2.5,36.38,8.5
0.28,-0.01,-0.4,2.25,36.5,8.63
0.21,0.01,-0.45,2.44,38.06,8.69
