Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.41,0.38,1.05,61.19,136.06,169.19
-0.13,-0.38,1.4,71.37,148.56,168.37
-0.13,-0.56,1.19,89.12,182.0,171.75
-0.39,-0.53,1.0,89.12,182.0,171.75
-0.93,-0.5,1.09,93.62,191.94,169.75
-2.75,-0.35,1.44,91.25,205.75,157.0
-3.55,-0.04,1.21,91.44,222.56,139.37
-3.96,0.31,1.04,106.19,247.62,128.25
-3.43,0.55,1.38,106.19,247.62,128.25
-2.39,0.74,1.55,146.94,275.37,176.81
-1.44,0.51,1.73,169.06,287.19,201.75
0.39,-0.48,1.86,173.37,295.25,185.87
4.17,-4.84,-1.3,136.69,267.81,91.75
5.06,-6.18,-2.98,136.69,267.81,91.75
7.04,-5.65,-2.75,83.19,120.94,85.69
8.27,-5.35,-1.32,47.13,59.94,96.94
7.23,-4.81,-0.57,2.81,7.5,82.87
5.0,-2.78,-0.72,-36.88,-31.56,79.87
3.65,-1.17,-0.64,-59.06,-58.88,91.44
2.83,-0.43,-0.38,-71.56,-81.25,103.0
1.44,0.71,0.5,-75.44,-97.37,113.75
0.83,1.1,0.66,-75.81,-105.81,130.25
0.22,1.15,0.88,-77.69,-110.31,149.62
-0.1,1.08,0.7,-80.69,-113.94,166.69
-0.17,1.05,1.05,-88.62,-115.62,170.56
-0.74,1.41,1.23,-96.44,-113.06,158.19
-1.39,1.3,1.14,-95.19,-106.87,159.75
-2.23,1.3,0.9,-92.81,-102.31,162.19
-2.5,1.34,0.76,-86.94,-94.81,161.62
-1.96,1.25,-0.06,-81.0,-87.0,167.69
-1.49,0.78,-0.2,-80.06,-80.81,149.69
0.8,1.42,0.42,-63.63,-78.37,129.19
2.33,1.82,1.28,-51.5,-67.37,86.81
2.78,1.53,1.24,-21.44,-53.81,64.87
-4.88,-1.7,0.2,-7.25,-46.31,59.06
-6.26,-0.84,0.25,-16.56,-52.69,42.38
-7.38,-0.37,0.73,-22.19,-37.5,42.31
-0.83,1.86,-0.31,-13.25,-4.31,37.06
7.1,0.32,-1.22,32.44,9.63,17.31
4.69,0.46,-0.75,46.06,26.5,-9.56
-2.68,-0.69,0.54,32.25,32.75,-13.0
-3.79,1.17,-1.47,34.63,2.69,-21.37
1.04,-1.73,1.47,41.75,40.25,-5.25
-3.59,-4.99,0.29,131.25,42.13,49.13
-5.19,-9.33,-0.89,169.94,56.25,103.37
-1.62,-9.17,-1.45,72.06,56.75,61.94
2.57,-1.26,0.2,-50.0,32.88,-3.31
-0.95,0.75,2.52,-82.19,17.12,-21.44
-3.82,1.72,-0.79,-35.0,20.06,9.88
-1.09,1.12,-0.45,12.31,24.81,39.69
-0.18,0.05,0.1,26.0,26.56,37.25
-0.37,-0.31,-0.1,30.19,20.25,37.19
0.15,-0.5,-0.09,22.62,5.0,37.13
-0.41,-0.05,-0.6,17.94,-17.94,45.56
-0.55,0.0,-0.1,18.69,-32.38,60.19
-0.11,-0.07,-0.53,15.88,-42.06,74.62
0.63,0.03,-0.06,11.81,-49.0,85.37
1.22,-0.36,-1.07,9.06,-60.56,90.44
1.22,-0.31,-1.31,-8.0,-79.5,93.25
1.23,-0.04,-1.32,-38.13,-94.0,91.56
0.25,0.61,-0.32,-70.31,-94.25,75.75
-0.62,0.33,0.66,-83.06,-97.19,80.25
-0.34,0.94,1.35,-99.81,-92.75,77.31
-0.29,1.35,1.14,-116.31,-80.5,67.75
0.3,2.92,0.33,-122.0,-67.31,53.81
-0.59,3.11,0.68,-110.25,-54.25,51.81
-1.6,2.8,1.35,-88.62,-47.31,61.31
-1.8,2.59,1.29,-69.0,-38.0,71.0
-2.22,3.04,0.67,-46.31,-16.12,68.12
-2.62,3.06,0.47,-11.13,4.44,80.19
-2.0,3.74,0.07,17.75,32.5,74.56
-1.56,4.69,0.86,52.63,63.44,64.12
-0.36,4.69,0.29,92.44,77.56,57.31
1.27,4.7,-0.8,106.06,83.37,17.56
2.46,4.36,-0.63,96.06,83.44,-47.75
6.65,4.27,-0.38,75.62,72.5,-147.0
5.64,3.97,0.02,50.69,70.5,-262.81
3.19,3.48,-0.68,32.19,47.0,-371.75
2.42,2.99,-1.18,5.12,16.5,-467.75
8.04,3.15,6.02,-31.25,17.12,-576.19
-1.97,8.91,0.84,235.25,20.81,-445.06
-0.74,-2.42,4.29,378.69,6.69,-147.44
-4.22,-13.89,2.02,391.31,-34.0,22.25
4.4,-16.45,16.36,294.37,113.75,80.75
-6.03,-11.63,-6.02,168.44,109.69,-63.75
-4.6,-9.13,-4.05,54.13,70.37,-43.13
-1.78,-3.72,0.28,-29.19,38.44,-31.56
-1.76,-2.22,-0.45,-65.37,25.25,-21.56
-1.34,-1.49,-0.66,-77.87,8.19,12.06
-0.13,-0.9,0.05,-86.56,-5.25,18.0
1.34,0.55,0.31,-82.94,-7.62,3.0
1.82,0.76,0.32,-72.44,-2.69,-8.25
1.82,0.76,0.32,-53.81,-3.62,-9.31
2.11,0.8,-0.15,-37.44,-22.44,-5.87
2.0,0.57,-1.15,-32.19,-43.63,-17.94
2.32,0.58,-0.15,-26.75,-54.81,-40.25
1.82,0.97,0.31,-16.5,-58.94,-54.13
0.8,1.45,0.31,-4.56,-60.44,-61.31
-1.35,2.69,0.43,16.44,-56.06,-54.31
-1.62,2.38,0.44,41.0,-49.44,-34.5
-1.44,1.55,0.15,58.0,-44.56,-12.88
