Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747623768.4134538,47.38,38.69,127.5,5.06,-4.82,-5.63,-9.19,49.56,-41.56
1747623768.4165015,60.13,46.94,125.06,6.24,-4.5,-4.41,1.31,95.37,-58.19
1747623768.4185193,73.37,57.19,118.12,6.39,-3.61,-3.42,6.37,159.44,-70.75
1747623768.4205172,93.31,65.81,53.0,9.57,-0.05,3.73,38.06,428.31,-115.44
1747623768.422517,103.75,37.44,12.13,6.64,0.2,7.61,57.25,297.5,-54.31
1747623768.4245179,108.56,16.56,3.25,3.49,0.06,9.07,41.75,128.25,-26.87
1747623768.4255161,109.12,10.81,-1.25,1.59,-0.34,8.77,44.44,12.06,1.37
1747623768.429537,108.37,10.25,-5.06,1.79,0.62,7.56,23.62,-0.25,4.5
1747623768.4325347,107.81,10.13,-5.5,1.94,1.41,8.03,-6.62,8.19,5.25
1747623768.4345343,107.5,9.69,-4.06,2.3,1.43,9.28,-11.75,2.19,1.25
1747623768.4366488,107.56,10.63,-3.62,2.18,1.56,9.27,-1.56,-12.25,-2.19
1747623768.438661,108.19,11.31,-4.5,2.05,1.27,8.9,0.69,1.44,-6.69
1747623768.439661,108.75,11.19,-5.12,1.98,1.27,8.89,-2.0,3.31,-4.12
1747623768.4426682,109.12,10.88,-5.5,1.94,1.32,9.11,-3.75,5.62,-2.31
1747623768.4446635,65.62,10.63,-5.62,1.85,1.33,9.16,-3.69,4.62,-2.25
1747623768.4476686,65.81,10.44,-5.62,1.83,1.27,9.26,-2.56,2.87,-2.31
1747623768.449706,66.06,10.38,-5.75,1.79,1.24,9.15,-1.37,1.44,-1.81
1747623768.4517074,66.19,10.31,-5.81,1.73,1.22,9.19,-1.44,-0.44,-0.13
1747623768.454221,66.19,10.31,-5.81,1.75,1.22,9.07,-1.94,1.0,-0.44
1747623768.4583437,66.19,10.25,-5.81,1.79,1.2,9.57,-0.5,0.5,0.37
1747623768.4603434,66.19,10.25,-5.94,1.84,1.19,9.51,0.81,-1.0,0.13
1747623768.4633396,66.19,10.38,-6.06,1.79,1.22,9.44,0.69,-0.25,-0.44
1747623768.4643433,66.19,10.44,-6.12,1.84,1.17,9.48,0.5,-0.5,0.5
1747623768.467295,66.19,10.5,-6.19,1.8,1.2,9.42,-0.37,-0.31,0.0
1747623768.4704099,66.19,10.5,-6.19,1.83,1.2,9.47,-0.69,0.25,-0.62
1747623768.4724107,66.25,10.56,-6.31,1.85,1.21,9.53,0.81,-0.25,-0.44
1747623768.4744222,66.25,10.63,-6.37,1.88,1.25,9.4,-0.13,-0.81,0.06
1747623768.4784837,66.19,10.69,-6.44,1.83,1.19,9.39,-0.56,0.81,0.56
1747623768.4794784,66.19,10.63,-6.44,1.85,1.24,9.48,-0.31,1.37,0.5
1747623768.4814827,66.19,10.56,-6.5,1.92,1.23,9.46,0.13,0.25,-0.44
1747623768.4834807,66.25,10.56,-6.56,1.79,1.15,9.43,-0.69,0.0,-0.88
1747623768.4865284,66.37,10.56,-6.5,1.8,1.2,9.45,-1.5,0.25,-0.81
1747623768.4885468,66.44,10.5,-6.37,1.81,1.19,9.54,-1.56,0.5,-1.0
1747623768.4895434,66.5,10.56,-6.37,1.82,1.15,9.34,0.0,-0.88,-0.06
1747623768.493544,66.5,10.56,-6.31,1.83,1.18,9.45,-0.88,-0.69,0.19
1747623768.495543,66.5,10.63,-6.31,1.82,1.1,9.38,-0.19,-1.0,0.75
1747623768.4976993,66.37,10.75,-6.19,1.77,1.07,9.4,-1.56,-0.37,1.06
1747623768.4996977,66.37,10.69,-6.0,1.86,1.14,9.5,-1.62,0.62,0.69
1747623768.5016975,66.37,10.69,-5.94,1.87,1.07,9.47,0.06,-0.88,0.25
1747623768.5037172,66.37,10.75,-5.94,1.87,1.09,9.35,-0.44,-1.0,-0.06
1747623768.5062265,66.44,10.81,-5.75,1.86,1.05,9.48,-2.56,0.13,-1.31
1747623768.50845,66.56,10.81,-5.62,1.82,1.06,9.51,-1.25,-0.31,-1.37
1747623768.5114658,66.69,10.88,-5.56,1.7,1.02,9.45,-0.94,-0.75,-1.5
1747623768.513483,66.75,10.94,-5.5,1.66,0.99,9.34,-0.81,-0.62,0.81
1747623768.5159976,66.62,10.94,-5.37,2.0,1.02,9.48,-1.31,-0.19,0.75
1747623768.5185668,66.62,10.94,-5.31,1.91,0.96,9.42,0.44,-0.13,-0.5
1747623768.5205693,66.69,10.94,-5.31,1.88,1.01,9.44,-0.13,0.13,-0.75
1747623768.522568,66.75,11.0,-5.31,1.89,0.97,9.4,0.13,-0.81,-0.31
1747623768.5255804,66.75,11.0,-5.31,1.87,0.99,9.36,0.25,-0.69,-1.0
1747623768.5282023,66.87,11.06,-5.37,1.84,0.99,9.39,-0.37,-0.88,-0.62
1747623768.58575,66.87,11.13,-5.37,1.96,1.0,9.44,0.25,-0.88,0.25
1747623768.69267,66.87,11.19,-5.37,1.92,0.98,9.41,0.19,-0.69,-0.37
1747623768.7943547,66.87,11.19,-5.37,1.9,0.97,9.41,0.19,0.25,-0.5
1747623768.8972905,66.87,11.19,-5.37,1.94,1.01,9.41,-0.44,0.06,-0.31
1747623769.0013065,66.87,11.19,-5.37,1.87,0.98,9.39,-0.31,0.0,-0.37
1747623769.1058753,66.87,11.19,-5.37,1.89,0.97,9.4,-0.06,0.06,0.0
1747623769.2089684,66.87,11.13,-5.37,1.89,0.95,9.45,-0.19,1.12,-0.06
1747623769.3149276,66.94,11.13,-5.37,1.87,1.01,9.47,-0.56,0.13,-0.56
1747623769.418071,66.94,11.13,-5.37,1.85,0.99,9.43,0.13,-0.44,0.5
