Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
3.72,3.33,-8.11,-0.69,-1.06,1.0
3.72,3.31,-8.42,0.5,3.5,0.0
3.44,3.52,-8.23,1.0,0.75,0.06
3.56,2.94,-8.38,-1.31,-6.56,1.56
3.82,2.88,-8.09,-3.19,-2.69,0.56
3.48,2.76,-7.82,8.56,11.56,7.44
3.7,3.17,-7.66,20.0,9.94,26.81
4.88,3.16,-8.28,8.81,2.75,27.5
4.43,3.43,-8.33,-4.12,-0.81,6.31
4.23,3.35,-8.46,-6.44,-11.5,-4.62
4.72,3.7,-7.7,-7.31,-11.06,-29.37
4.31,3.37,-7.23,-1.87,-0.31,-46.06
4.38,3.15,-7.69,4.25,24.12,-53.94
4.15,3.15,-7.84,26.06,26.56,-68.62
3.93,3.21,-8.02,27.5,19.0,-56.38
4.21,3.26,-8.12,21.56,18.5,-39.88
4.12,3.41,-7.92,21.5,26.06,-37.38
4.38,3.54,-7.9,23.81,20.37,-32.63
4.23,3.55,-8.15,18.62,16.75,-25.81
4.58,3.94,-7.65,2.62,23.25,-14.88
3.5,3.14,-8.08,15.0,-0.31,-11.5
4.43,3.5,-8.04,1.06,-5.94,9.38
4.35,3.37,-8.03,-14.81,-2.0,23.5
4.31,3.38,-7.73,-13.81,-12.94,31.87
4.69,3.13,-7.26,-9.63,-12.44,37.25
4.89,3.15,-7.6,0.81,-13.5,36.75
4.51,3.33,-7.68,-12.44,-2.44,20.06
4.45,2.94,-8.01,-13.69,-11.63,22.31
4.55,2.98,-7.83,-13.31,-15.75,27.0
4.45,2.91,-7.9,-9.38,-6.62,29.75
4.49,2.98,-8.16,-11.19,-14.31,29.0
4.34,2.79,-7.54,-8.88,-10.63,26.56
4.24,2.81,-7.95,-9.56,-10.31,20.19
4.17,2.86,-8.12,-12.81,-7.56,19.81
3.58,2.74,-8.37,-9.19,-11.88,18.25
3.95,2.67,-8.19,-4.81,-10.06,15.0
3.77,2.69,-8.26,-5.69,-17.31,18.81
4.23,3.03,-7.82,-4.75,2.25,10.56
4.08,2.71,-7.98,3.44,1.87,-14.56
4.04,2.77,-8.16,10.69,7.06,-21.81
3.86,2.81,-8.31,15.56,6.19,-29.44
3.68,2.92,-8.41,8.63,7.31,-26.37
4.26,2.78,-8.5,8.19,5.69,-23.19
4.3,2.95,-8.12,12.63,10.63,-30.5
4.05,2.9,-8.13,15.38,10.94,-34.25
3.97,2.83,-8.16,14.94,11.31,-33.56
4.15,2.98,-7.99,16.37,11.38,-33.56
4.05,2.78,-8.1,15.19,10.81,-30.06
4.18,2.92,-8.03,11.69,9.63,-25.81
4.22,2.95,-8.15,15.0,4.87,-26.87
4.62,3.03,-7.62,14.94,6.31,-21.75
4.11,2.98,-8.3,20.19,-2.69,-30.25
4.16,2.84,-8.06,15.88,-0.06,-29.44
3.43,2.5,-8.39,5.75,4.87,-13.13
4.0,2.74,-8.41,-7.87,14.94,12.0
4.13,3.01,-8.3,-12.81,-8.56,25.56
4.36,2.92,-7.79,-15.94,-12.44,29.62
4.55,3.02,-7.7,-15.81,-10.25,27.25
4.35,2.98,-8.14,-3.25,-4.37,13.5
4.1,2.92,-8.0,-9.06,-7.5,19.69
4.14,2.8,-8.11,-12.75,-0.94,23.56
4.2,2.89,-8.18,-14.38,-4.94,25.5
4.01,2.92,-8.12,-13.25,-9.38,26.06
4.3,3.07,-8.23,-10.75,-9.06,22.5
4.04,2.91,-8.33,-6.62,-16.44,17.37
3.81,2.72,-8.3,-9.13,-15.75,19.44
3.87,2.81,-8.27,-12.81,-9.0,25.31
3.84,3.64,-7.93,-13.63,-12.0,20.37
4.69,3.45,-7.86,-5.94,9.38,2.87
3.13,3.02,-8.26,0.62,-3.75,-4.25
3.76,3.15,-8.38,4.87,10.69,-16.75
3.72,3.15,-8.28,11.19,7.94,-25.25
3.67,3.12,-8.41,12.88,4.94,-28.44
3.74,2.98,-8.39,13.0,8.63,-30.87
4.14,2.98,-8.54,12.94,12.81,-27.5
3.96,3.1,-8.21,8.13,10.31,-24.5
3.7,3.01,-8.24,11.5,6.75,-26.19
3.94,3.08,-8.11,9.19,10.19,-20.5
3.68,2.99,-7.87,12.25,10.94,-20.0
3.96,3.07,-8.27,9.56,8.38,-17.81
4.15,2.92,-7.95,10.75,7.75,-20.12
4.19,2.96,-8.08,7.25,11.69,-17.44
4.01,2.91,-8.37,6.25,6.5,-14.5
3.43,2.75,-8.61,1.25,-4.37,-2.94
3.93,2.74,-8.43,-0.5,12.5,9.38
4.44,3.05,-7.69,-16.87,-5.31,21.75
4.57,2.98,-8.09,-16.5,-6.44,24.56
4.29,3.22,-7.79,-19.44,-15.38,32.13
4.51,3.27,-7.74,-20.81,-12.0,34.06
4.48,3.28,-7.77,-16.81,-9.94,27.69
4.12,3.01,-7.79,-12.69,-7.25,24.81
4.43,3.22,-7.94,-10.19,-9.75,22.75
4.36,3.27,-7.93,-10.19,-2.75,19.0
4.43,3.03,-8.12,-11.63,38.25,13.38
4.76,3.12,-7.82,-8.19,-15.69,16.06
4.55,3.15,-7.86,-8.19,-14.13,16.31
4.72,3.24,-7.7,-8.69,-8.13,14.81
4.4,3.19,-7.71,-5.19,-5.19,8.56
4.12,3.1,-8.01,-3.37,21.06,0.75
4.04,3.19,-7.84,0.31,-7.44,5.31
