Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.04,0.41,0.11,24.75,-5.81,14.81
0.04,0.06,0.15,24.75,-5.81,14.81
0.16,0.0,0.01,12.06,-0.25,25.5
0.34,0.55,0.03,12.44,2.06,21.25
0.71,0.27,0.21,15.0,1.62,20.37
0.97,-0.12,0.27,15.0,1.62,20.37
0.77,-0.56,0.37,13.38,-2.19,19.5
0.62,-0.48,0.44,2.87,-10.19,9.69
0.52,-0.37,0.36,-2.0,-13.44,5.94
0.42,-0.24,0.38,-5.56,-15.25,3.37
0.59,-0.16,0.59,-5.56,-15.25,3.37
0.65,-0.09,0.52,-7.81,-18.62,0.44
0.49,-0.07,0.43,-10.88,-29.25,-4.56
0.52,0.05,0.12,-12.88,-31.94,-5.81
0.21,0.19,0.01,-13.31,-32.06,-5.5
0.25,0.25,-0.02,-13.31,-32.06,-5.5
0.41,0.15,0.16,-13.63,-30.44,-4.19
0.46,0.06,0.39,-17.75,-31.87,-1.94
0.38,0.24,0.18,-18.75,-33.94,-2.0
0.23,0.25,0.07,-19.62,-32.75,0.56
0.16,0.23,0.02,-19.62,-32.75,0.56
0.17,0.32,0.11,-21.37,-30.0,1.81
0.16,0.28,0.0,-19.94,-24.69,-0.31
0.08,0.26,-0.16,-19.5,-20.75,-0.19
0.08,0.3,-0.17,-19.5,-20.75,-0.19
0.17,0.34,0.02,-18.25,-15.94,-1.25
0.27,0.27,-0.03,-16.25,-12.19,-2.31
0.46,0.19,0.06,-14.44,-10.31,-2.81
0.54,0.11,0.17,-13.5,-9.75,-2.62
0.71,0.14,-0.12,-12.81,-11.75,-2.62
0.67,0.14,-0.01,-12.31,-13.38,-3.5
0.59,0.12,0.15,-11.44,-13.56,-4.62
0.49,0.08,0.11,-10.44,-14.5,-5.25
0.39,0.13,0.02,-10.13,-15.31,-5.81
0.26,0.16,0.07,-10.13,-14.94,-5.81
0.21,0.24,0.0,-9.44,-13.25,-5.75
0.32,0.2,-0.02,-8.38,-11.31,-5.56
0.42,0.14,-0.03,-7.37,-8.94,-4.81
0.44,0.17,-0.04,-6.62,-7.56,-4.37
0.36,0.19,-0.06,-6.31,-6.75,-4.56
0.19,0.26,-0.1,-5.75,-5.69,-4.62
0.12,0.29,-0.03,-4.69,-3.69,-4.56
0.2,0.32,-0.07,-3.37,-1.12,-4.31
0.4,0.33,0.0,-2.12,1.0,-3.25
0.65,0.25,0.1,-0.69,1.44,-1.75
0.61,0.21,0.04,0.25,-0.44,-0.37
0.54,0.19,0.04,0.94,-2.75,0.44
0.46,0.17,-0.02,1.19,-4.5,0.81
0.42,0.15,0.0,1.44,-4.94,0.81
0.46,0.15,0.01,1.37,-4.56,0.94
0.52,0.18,0.04,1.87,-4.87,1.31
0.36,0.16,0.07,2.5,-5.56,1.44
0.27,0.11,-0.01,3.56,-6.56,1.62
0.23,0.11,-0.01,4.44,-6.19,1.62
0.22,0.1,-0.02,4.69,-4.87,1.94
0.26,0.08,-0.08,4.5,-3.06,1.75
0.26,0.07,-0.06,3.94,-1.56,1.87
0.27,0.08,-0.07,3.62,0.69,1.37
0.27,0.12,-0.1,3.31,3.0,1.0
0.38,0.14,0.03,2.87,5.37,0.62
0.43,0.12,0.04,3.0,6.37,0.75
0.49,0.15,0.04,3.0,5.94,0.75
0.61,0.12,0.06,2.87,4.87,0.88
0.57,0.14,0.0,2.75,2.87,1.12
0.45,0.12,0.0,2.5,0.56,1.31
0.34,0.05,0.05,2.5,-0.88,1.25
0.22,0.05,0.0,2.06,-1.69,1.06
0.24,0.08,-0.03,1.31,-1.69,1.37
0.32,0.06,-0.04,0.81,-0.94,1.62
0.31,0.06,-0.02,0.56,-0.44,1.56
0.19,-0.06,-0.17,0.19,0.62,1.37
0.2,0.0,0.06,-0.62,2.31,0.56
0.26,0.05,0.07,-1.56,4.25,0.13
0.36,0.1,0.01,-1.87,4.44,0.44
0.52,0.12,0.22,-1.56,4.06,0.62
0.68,0.13,0.23,-1.25,2.37,1.44
0.83,0.06,0.15,-0.56,-1.44,1.87
0.8,-0.09,0.0,-0.19,-6.5,2.25
0.66,-0.11,0.02,-0.75,-11.19,1.69
0.45,-0.04,0.14,-2.56,-14.38,0.81
0.23,0.02,-0.1,-4.75,-16.87,0.5
0.05,0.22,-0.13,-5.87,-16.37,-0.13
-0.09,0.22,-0.35,-6.19,-13.5,0.06
-0.33,0.22,-0.23,-5.56,-8.81,0.25
-0.27,0.21,-0.18,-4.62,-2.5,0.0
0.56,0.12,-0.29,-4.25,3.12,-0.31
0.93,-0.05,0.03,-4.25,6.12,0.62
0.97,-0.01,0.55,-5.69,5.12,1.12
0.83,0.12,0.06,-7.75,-2.5,1.25
0.0,0.17,-0.15,-7.62,-7.56,1.87
-0.05,0.09,-0.03,-6.37,-4.56,1.94
0.16,0.04,-0.09,-5.37,-0.69,2.06
0.35,-0.07,-0.11,-5.25,2.12,2.37
0.31,-0.06,-0.19,-6.19,3.19,2.75
0.19,0.0,-0.21,-7.5,4.69,2.25
0.19,0.01,-0.19,-8.56,7.37,2.12
0.34,0.0,-0.14,-9.38,10.25,0.88
0.39,-0.01,-0.12,-10.75,12.25,-0.31
0.4,-0.04,-0.15,-12.63,13.19,0.06
0.36,-0.04,-0.2,-15.25,14.0,1.19
