Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747643034.2895012,17.62,48.69,107.19,7.6,-4.9,-2.05,89.31,205.44,80.56
1747643034.2924974,18.56,47.75,91.31,22.09,-2.01,-4.23,0.88,-55.81,-93.25
1747643034.2961395,35.19,65.0,117.0,12.15,-3.01,-4.14,-42.38,-120.06,-229.0
1747643034.2981813,54.5,70.0,168.25,3.3,-4.57,-0.54,-22.12,3.37,-136.75
1747643034.3021848,58.56,88.0,178.75,1.48,-2.54,2.61,-15.31,189.31,24.56
1747643034.3077223,58.44,73.25,16.0,9.43,-0.28,8.16,-14.56,308.0,10.0
1747643034.314725,62.19,49.5,2.62,14.28,4.06,11.67,36.06,86.44,-52.81
1747643034.3215878,68.87,73.31,-32.44,-2.15,0.49,2.7,44.38,-502.44,-100.06
1747643034.3250897,81.56,70.37,-141.87,-1.56,-1.86,-1.7,-28.5,-5.69,-9.69
1747643034.3276546,69.56,73.94,-32.5,8.86,1.97,7.12,-43.88,390.12,44.75
1747643034.3296487,69.06,40.19,-4.44,16.64,7.12,17.07,-37.5,215.62,-11.81
1747643034.3331811,70.87,50.19,-14.88,1.98,0.3,5.81,98.75,-330.0,-33.63
1747643034.3372276,70.87,73.81,-20.25,-6.82,-4.38,-1.43,-92.75,-111.12,123.25
1747643034.341243,60.06,70.87,36.5,28.85,0.29,9.28,-38.75,-75.56,123.12
1747643034.3432431,61.25,77.94,22.69,6.08,-3.6,1.61,85.12,-146.75,-197.75
1747643034.3473034,70.75,81.37,-49.69,-10.41,-2.73,-0.03,-37.94,-29.87,33.5
1747643034.3523068,61.94,78.44,24.94,26.04,-0.98,5.57,-33.75,91.87,130.75
1747643034.354816,61.75,78.62,32.94,18.5,-2.21,3.16,56.31,-69.31,-135.37
1747643034.3588758,74.12,82.12,-79.12,-10.4,-0.84,1.27,-36.75,-1.81,-2.31
1747643034.3608773,66.62,85.69,1.44,11.27,-0.93,1.89,16.94,116.06,150.62
1747643034.3638752,59.19,77.69,50.06,26.47,0.16,4.61,19.56,16.19,-23.0
1747643034.366658,66.81,84.37,-2.75,-2.8,-1.68,-2.57,32.69,-60.81,-116.81
1747643034.3696728,66.19,83.62,-1.69,-0.15,-0.25,-1.24,-39.69,4.94,128.5
1747643034.3726711,59.19,76.87,45.5,24.94,0.04,5.0,-33.38,6.31,2.62
1747643034.3757417,67.0,79.19,-3.94,3.91,-0.77,0.33,44.5,-26.12,-104.5
1747643034.3788712,69.75,84.12,-1.06,-1.84,-0.96,1.34,-42.44,14.31,97.19
1747643034.382887,59.94,75.87,53.25,23.27,-0.83,3.53,-21.87,7.44,71.69
1747643034.3848884,71.19,80.75,40.13,10.51,-1.92,0.94,48.56,-60.0,-138.25
1747643034.3869283,80.0,86.69,-2.5,-8.05,-0.87,0.76,-15.63,29.75,23.44
1747643034.3899403,71.06,80.25,47.94,18.65,-2.23,3.03,-16.69,74.12,132.44
1747643034.3919425,68.37,76.06,65.31,22.26,-1.48,4.06,2.19,-85.0,-95.62
1747643034.4078941,78.12,87.0,-1.12,-7.71,-1.52,0.15,13.13,4.5,-88.12
1747643034.5064619,76.0,85.44,1.44,3.38,0.27,0.0,-5.69,67.75,116.56
1747643034.60949,67.37,77.5,73.62,26.73,-0.69,2.19,-8.56,-63.13,14.88
1747643034.712594,75.94,88.87,0.5,1.53,-1.88,0.0,9.44,-57.38,-138.37
1747643034.8155527,80.62,85.87,-3.62,-5.0,-0.9,-1.59,-4.5,23.94,59.06
1747643034.9184065,70.56,78.75,49.94,24.97,-0.67,4.04,-51.0,21.19,122.0
1747643035.022046,73.0,81.44,43.81,16.85,-1.04,2.17,38.75,-53.25,-139.75
1747643035.1270807,82.12,86.87,-2.5,-8.46,-1.46,1.61,-27.62,26.37,36.06
1747643035.2348654,71.75,81.25,59.63,23.86,-2.73,3.04,-17.56,-3.5,106.25
1747643035.3386238,73.44,81.81,56.25,17.35,-0.63,3.52,47.19,19.12,-115.44
1747643035.4426506,82.56,83.5,-6.19,-9.31,-0.27,-2.82,55.44,29.94,-63.75
1747643035.5483963,76.81,87.44,0.31,6.57,-1.54,-2.29,-23.19,7.19,145.06
1747643035.650643,67.94,77.69,72.31,13.09,-2.5,1.3,-17.81,0.94,60.88
1747643035.7555037,66.87,74.12,69.25,8.27,-2.78,1.84,-21.56,37.75,28.25
1747643035.8592515,64.5,72.5,87.31,5.21,-4.72,0.91,-15.69,-53.88,31.81
1747643035.962948,58.69,66.87,97.75,5.94,-5.11,0.14,-9.63,-12.75,87.69
1747643036.0657153,49.81,54.75,93.31,10.4,-5.02,-0.93,-35.81,0.25,139.19
1747643036.168385,38.81,41.44,95.44,8.55,-7.13,-1.21,-33.19,36.38,138.5
1747643036.2720377,27.31,28.25,96.5,6.24,-6.37,-0.2,-26.5,-34.5,69.87
1747643036.373582,15.31,21.75,98.69,5.14,-7.49,-0.44,-7.19,-28.19,39.63
1747643036.4778397,13.31,20.19,98.5,4.21,-7.7,-0.49,2.0,-1.37,1.87
1747643036.5805955,9.56,20.56,99.0,2.24,-7.67,-0.48,14.0,-41.25,-14.5
1747643036.6837687,6.19,21.0,98.5,2.03,-7.86,-0.96,12.19,-25.56,-15.94
1747643036.7868977,4.44,20.31,98.62,2.21,-7.63,-1.1,-4.0,8.06,-8.63
1747643036.891061,4.62,20.0,98.81,2.37,-7.48,-0.89,-4.69,-1.12,0.56
1747643036.9953659,3.69,19.25,98.56,2.52,-7.66,-0.81,-1.25,-1.37,5.94
