Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747623866.1277905,120.81,26.44,137.75,1.79,-3.57,-3.37,37.88,92.56,-47.69
1747623866.131161,131.31,34.44,127.12,3.71,-3.5,-3.29,74.87,139.06,46.75
1747623866.1331599,133.69,34.63,106.25,3.49,-6.12,0.12,77.56,163.19,74.62
1747623866.1341639,143.44,30.37,90.5,7.44,-8.7,0.21,-23.25,202.5,67.19
1747623866.1363845,144.31,23.94,88.75,4.05,-8.39,0.17,4.25,-33.25,47.88
1747623866.1384122,135.19,21.87,89.31,2.2,-8.41,0.86,8.06,-104.5,14.0
1747623866.1404142,126.69,20.81,93.19,0.85,-7.19,0.55,-8.81,-43.06,4.75
1747623866.142414,127.56,20.69,92.81,2.36,-7.45,0.39,5.87,32.81,0.19
1747623866.144411,128.75,20.62,91.5,2.55,-7.71,0.34,2.81,-13.06,1.81
1747623866.1464365,347.69,19.94,92.06,1.96,-7.45,0.6,0.44,-31.94,4.12
1747623866.1490297,344.19,18.19,90.81,1.78,-7.64,0.56,1.62,-13.25,0.5
1747623866.1510282,343.37,16.87,89.69,1.92,-7.58,0.51,-0.5,1.12,-0.25
1747623866.1526222,344.81,16.69,89.0,2.07,-7.56,0.45,-1.75,5.56,-3.12
1747623866.1556718,346.12,16.75,88.69,2.14,-7.6,0.41,-0.62,3.0,-2.5
1747623866.157732,347.31,16.81,88.5,2.08,-7.67,0.25,0.69,2.25,-2.31
1747623866.1609244,348.0,16.87,88.56,2.23,-7.55,0.26,-3.25,-3.87,1.25
1747623866.1624465,347.06,16.37,88.94,1.96,-7.61,0.38,-1.19,-9.88,4.69
1747623866.1658928,346.0,15.88,88.94,2.12,-7.46,0.33,3.37,-10.69,2.19
1747623866.168,346.31,16.0,88.75,2.16,-7.5,0.26,0.75,0.0,-3.94
1747623866.171301,346.69,16.25,88.69,1.95,-7.65,0.27,-0.88,-2.5,-1.62
1747623866.1735206,346.87,16.19,88.62,2.08,-7.65,0.35,0.25,0.81,-1.0
1747623866.1761901,347.31,16.12,88.44,2.17,-7.55,0.29,0.06,3.12,0.25
1747623866.1782598,348.0,16.12,88.37,2.18,-7.55,0.25,-0.37,1.56,-1.0
1747623866.1812599,348.56,16.25,88.37,2.08,-7.59,0.3,-0.44,0.06,-0.62
1747623866.183263,348.94,16.25,88.31,2.19,-7.58,0.33,0.0,0.69,-1.31
1747623866.186294,348.94,16.31,88.31,2.16,-7.56,0.3,0.31,-1.25,-0.13
1747623866.1898851,348.75,16.31,88.31,2.06,-7.62,0.27,-0.56,-2.0,0.25
1747623866.1918812,348.62,16.25,88.31,2.22,-7.53,0.31,-0.44,0.25,0.69
1747623866.1938844,348.56,16.19,88.37,2.14,-7.58,0.29,-0.37,-0.5,0.13
1747623866.197395,348.5,16.19,88.37,2.15,-7.58,0.24,-0.37,-1.37,0.5
1747623866.198463,348.44,16.19,88.31,2.11,-7.55,0.26,0.19,0.5,-0.19
1747623866.3017526,348.44,16.19,88.31,2.12,-7.59,0.27,-0.06,-0.06,-0.37
1747623866.4057448,348.5,16.19,88.31,2.13,-7.59,0.22,0.19,1.0,-0.62
1747623866.508992,348.69,16.19,88.31,2.15,-7.55,0.25,-0.31,0.69,-0.13
1747623866.61385,348.62,16.19,88.31,2.15,-7.58,0.28,-0.37,-1.62,0.13
1747623866.7184827,348.62,16.19,88.37,2.13,-7.57,0.31,-0.75,0.06,-0.13
1747623866.8205752,348.5,16.19,88.44,2.15,-7.58,0.22,0.31,-1.62,0.13
1747623866.9236846,348.19,16.19,88.5,2.08,-7.58,0.24,-0.13,-3.37,0.88
1747623867.0281277,348.0,16.12,88.56,2.1,-7.57,0.21,-0.25,-0.62,0.5
1747623867.1372633,347.87,16.06,88.56,2.08,-7.58,0.2,-0.44,-1.37,0.62
1747623867.240453,347.69,16.0,88.62,2.1,-7.57,0.22,-0.06,-0.94,0.88
1747623867.3440466,347.62,16.0,88.62,2.11,-7.55,0.2,-0.13,-0.69,0.69
1747623867.449885,347.44,16.0,88.69,2.11,-7.59,0.19,0.37,-1.69,0.13
1747623867.5524697,347.31,16.0,88.69,2.06,-7.6,0.18,0.37,-0.94,-0.19
1747623867.6582382,347.31,16.0,88.75,2.05,-7.59,0.22,-0.06,-0.25,-0.56
1747623867.761478,347.25,16.0,88.75,2.07,-7.61,0.18,-0.44,-1.19,0.19
1747623867.8638158,347.25,16.0,88.75,2.1,-7.55,0.19,-0.19,1.19,-0.44
1747623867.9707232,347.31,16.0,88.69,2.15,-7.57,0.16,-0.13,0.31,-0.31
1747623868.0737014,347.31,16.0,88.75,2.09,-7.55,0.17,0.06,-0.44,-0.31
1747623868.1765149,347.37,16.0,88.69,2.14,-7.56,0.16,-0.06,0.44,0.19
1747623868.2793071,347.31,16.0,88.69,2.11,-7.6,0.2,-0.13,-0.88,-0.06
1747623868.3835578,347.31,16.0,88.75,2.14,-7.57,0.19,-0.31,0.94,-0.37
1747623868.4863603,347.31,16.0,88.75,2.07,-7.56,0.2,0.19,-1.5,-0.25
1747623868.5893035,347.25,16.0,88.75,2.23,-7.66,0.17,-0.25,-1.31,-0.25
1747623868.6952877,344.56,15.88,89.75,5.95,-8.86,-1.02,2.5,-114.56,16.31
1747623868.7980819,313.87,13.75,100.94,3.77,-11.42,-2.94,-93.06,-376.06,-19.06
1747623868.902489,286.12,11.06,121.12,4.34,-7.91,-7.5,-165.25,-256.87,-120.56
1747623869.0076656,56.38,5.31,142.75,2.39,-3.73,-6.38,-148.44,-217.87,-139.31
1747623869.1097765,40.94,-3.56,156.25,-0.64,-2.14,-6.78,-121.12,-137.25,-85.31
1747623869.2183912,31.06,-11.63,165.87,-2.07,-1.35,-6.75,-82.94,-77.87,-56.0
1747623869.322928,25.12,-15.0,169.75,-3.06,-0.48,-7.08,-25.06,-34.75,-39.88
1747623869.4287527,21.25,-16.5,169.94,-3.0,-0.29,-8.85,-2.06,-14.31,-25.37
1747623869.531758,20.19,-16.37,169.62,-3.21,0.37,-9.13,-1.81,7.25,-13.56
1747623869.633994,20.69,-16.37,171.0,-3.21,0.39,-9.67,2.56,1.75,-5.94
1747623869.7373052,21.37,-16.56,173.12,-2.99,0.43,-9.64,-2.5,-0.37,1.44
1747623869.8408568,22.0,-16.56,175.81,-2.81,0.56,-9.28,-3.06,1.56,2.12
1747623869.9433675,22.37,-16.44,177.94,-2.69,0.41,-9.49,-2.75,2.12,0.88
1747623870.0465536,22.5,-16.44,179.37,-3.05,0.63,-9.5,-3.25,1.5,-1.69
1747623870.1491585,22.37,-16.62,-179.56,-3.05,0.62,-9.49,-0.13,-0.44,-1.81
