Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747623996.8947537,22.69,31.62,102.25,4.6,-7.77,0.0,22.94,85.25,55.0
1747623996.8972826,24.19,27.56,100.56,4.06,-7.8,-0.26,-33.19,44.25,51.69
1747623996.8998115,23.62,25.5,100.56,3.59,-7.52,-0.44,8.81,-13.13,10.25
1747623996.9018087,21.94,25.44,100.75,2.88,-7.28,-0.69,0.37,-9.19,-11.5
1747623996.9038103,19.75,24.69,99.87,2.53,-7.3,-0.68,-1.25,-14.69,-5.19
1747623996.90733,17.06,23.12,99.0,2.63,-7.3,-0.62,-1.5,-1.62,3.25
1747623996.908625,16.81,22.44,98.0,2.91,-7.22,-0.68,-0.13,5.87,1.5
1747623996.9131968,16.94,22.31,97.56,2.91,-7.29,-0.68,-0.56,-0.37,0.75
1747623996.9141939,16.56,22.12,97.44,2.8,-7.25,-0.69,-0.25,-3.0,0.56
1747623996.9172409,16.25,22.0,97.25,2.79,-7.28,-0.63,-0.19,-1.56,-0.5
1747623996.9212854,16.0,21.87,97.0,2.74,-7.26,-0.65,0.37,0.25,-0.44
1747623996.9242804,15.88,21.75,96.75,2.81,-7.31,-0.57,0.13,0.75,-0.5
1747623996.9273965,15.94,21.75,96.5,2.79,-7.26,-0.64,0.88,0.75,-0.5
1747623996.9289067,16.06,21.75,96.25,2.86,-7.27,-0.67,0.94,1.69,-1.06
1747623996.9309218,16.06,21.75,96.06,2.86,-7.24,-0.68,0.25,0.37,-0.81
1747623996.9329226,16.06,21.81,96.06,2.8,-7.25,-0.69,-0.13,-2.25,-0.13
1747623996.9354343,15.88,21.69,96.0,2.85,-7.24,-0.67,0.0,-0.56,0.13
1747623996.9375484,15.81,21.69,96.0,2.87,-7.25,-0.67,0.37,-0.94,0.0
1747623996.9405532,15.56,21.69,96.06,2.82,-7.25,-0.67,-0.31,-2.0,-0.94
1747623996.944551,15.56,21.75,96.06,2.85,-7.24,-0.69,-0.19,-0.5,-1.0
1747623996.9466474,15.63,21.81,96.06,2.86,-7.24,-0.67,-0.62,-0.56,-0.88
1747623996.9502432,15.63,21.81,96.12,2.85,-7.23,-0.67,-0.62,-0.13,-0.25
1747623996.9512432,15.63,21.81,96.06,2.88,-7.32,-0.62,0.0,-0.37,-0.13
1747623996.9532416,15.56,21.81,96.06,2.94,-7.21,-0.69,0.94,-0.5,0.19
1747623996.9557586,15.38,21.81,96.06,2.92,-7.23,-0.68,0.31,-2.25,-0.37
1747623996.9598482,15.13,21.75,96.12,2.86,-7.24,-0.71,0.94,-2.94,0.44
1747623996.962845,14.88,21.75,96.19,2.83,-7.24,-0.71,0.31,-1.75,0.37
1747623996.9663594,14.75,21.75,96.25,2.82,-7.24,-0.71,-0.13,-1.25,0.75
1747623996.96791,14.63,21.62,96.25,2.83,-7.25,-0.67,-0.13,0.81,1.12
1747623996.969922,14.69,21.56,96.25,2.81,-7.23,-0.71,-0.69,1.56,0.81
1747623996.9729245,14.88,21.56,96.12,2.86,-7.19,-0.72,0.0,2.19,1.31
1747623997.0747392,15.0,21.5,96.12,2.9,-7.29,-0.7,0.06,0.25,-0.06
1747623997.17975,15.06,21.56,96.06,2.74,-7.25,-0.67,-0.44,0.5,-0.13
1747623997.2840698,15.0,21.56,96.06,2.81,-7.25,-0.67,0.25,0.13,0.44
1747623997.3873641,15.0,21.5,96.0,2.83,-7.27,-0.68,-0.31,-0.19,0.37
1747623997.4917085,14.63,21.56,96.19,3.74,-7.53,-0.71,-0.44,-19.69,-7.5
1747623997.5963888,14.75,24.69,97.44,6.22,-9.08,-2.24,-0.25,2.0,-73.31
1747623997.699868,31.12,37.13,101.25,9.12,-4.26,-3.6,-45.19,-12.56,-159.44
1747623997.807783,58.88,56.63,107.62,10.56,-2.44,-2.54,-66.06,65.25,-181.56
1747623997.9098573,79.56,71.62,117.81,8.29,-5.47,-0.35,-32.63,-15.06,-129.56
1747623998.0128603,90.0,74.12,153.12,4.77,-3.91,-0.41,-6.56,-45.06,-66.06
1747623998.117478,94.44,73.5,173.19,6.56,-0.53,-2.76,9.56,-14.13,-44.25
1747623998.2198198,98.0,73.69,-174.0,-2.68,-0.75,0.32,-8.25,37.69,-13.44
1747623998.3225744,89.62,79.75,120.87,4.63,-5.79,1.9,11.31,59.69,202.87
1747623998.4273965,73.44,64.0,91.94,29.53,-0.84,-2.36,-15.13,32.19,52.13
1747623998.5317683,83.75,75.37,99.25,7.93,-2.43,-0.33,15.13,-73.37,-191.75
1747623998.6347156,66.19,82.69,106.94,-7.38,-4.43,1.62,10.0,-8.81,85.94
1747623998.740756,50.44,67.75,92.44,25.16,-1.18,-2.74,-15.0,58.94,146.37
1747623998.8431401,54.5,71.44,95.5,17.99,-3.87,-0.77,19.69,-78.5,-195.44
1747623998.948864,69.31,80.87,161.25,-11.06,-2.15,4.29,-22.62,-6.12,-1.75
1747623999.052911,54.25,72.12,126.69,13.39,-1.88,-3.51,17.69,31.37,149.31
1747623999.1562781,48.44,66.12,106.25,23.76,-0.45,-4.59,-31.56,-0.06,-26.69
1747623999.2589467,61.94,75.25,141.69,0.79,-4.22,2.61,2.37,-65.81,-183.44
1747623999.3619852,66.37,72.5,163.19,-2.68,-4.68,0.04,46.5,-10.94,86.87
1747623999.4655745,49.13,67.12,127.87,20.55,-0.63,-8.49,31.44,-24.06,121.06
1747623999.5683713,52.31,69.87,126.25,17.9,-1.16,-4.44,-15.94,-3.94,-120.62
1747623999.6711617,68.12,77.56,171.69,-4.3,-1.52,0.93,-14.69,0.94,-109.31
1747623999.7740424,62.81,74.31,156.12,2.7,-2.2,-0.25,4.31,-7.37,138.62
1747623999.8849025,46.5,65.0,117.62,17.48,-3.04,-3.85,-2.19,8.75,124.5
1747623999.98873,45.56,63.0,115.75,13.49,-3.23,-3.43,-2.62,-8.38,-50.56
1747624000.0930963,55.13,71.75,129.56,6.88,-4.32,-0.53,27.56,12.13,-151.62
1747624000.1972802,67.81,84.56,-178.31,3.93,-1.01,0.94,36.56,72.44,-124.0
1747624000.2999222,66.0,85.37,-176.62,3.59,1.62,0.91,39.75,-2.31,64.12
1747624000.4046977,47.0,77.81,108.37,8.23,-2.67,-0.73,31.31,-13.19,207.37
1747624000.50986,19.5,54.63,94.69,8.62,-5.96,-0.86,59.06,6.56,216.5
1747624000.6119437,358.81,35.0,85.56,9.27,-8.5,-4.81,8.56,82.5,194.31
1747624000.714454,10.94,30.87,82.62,5.66,-4.53,1.56,-54.0,-21.19,-30.87
1747624000.8173559,5.06,30.87,87.56,3.94,-5.82,2.13,8.06,-82.81,16.37
1747624000.9211438,358.87,30.06,90.5,3.63,-6.51,0.0,0.19,-23.12,3.25
1747624001.024081,356.75,29.62,90.81,3.86,-7.39,-1.07,5.25,-11.75,3.25
1747624001.1275418,356.62,29.56,91.0,3.98,-6.4,0.61,-3.87,-0.25,0.62
1747624001.2310824,356.81,29.56,90.69,4.12,-6.77,-0.06,1.31,-0.37,-0.06
1747624001.3338368,356.69,29.62,90.62,4.11,-6.62,0.16,0.0,-2.25,1.56
1747624001.437426,356.44,29.62,90.56,3.86,-6.68,0.11,0.06,-0.75,-0.13
1747624001.542726,356.5,29.62,90.56,4.04,-6.72,0.04,-0.56,-0.56,0.56
1747624001.6464202,356.31,29.69,90.62,3.87,-6.65,0.0,0.06,-3.12,0.25
1747624001.7508094,356.31,29.75,90.62,4.01,-6.59,0.0,-0.56,-0.13,0.25
1747624001.853949,356.37,29.81,90.56,3.96,-6.67,0.0,0.31,-1.62,0.81
